occupation_code	soc_code	occupation_text	display_level	selectable	sort_sequence
24S	435031	Public safety telecommunicators	1	T	558
24T	435032	Dispatchers, except police, fire, and ambulance	1	T	559
24Z	435061	Production, planning, and expediting clerks	1	T	564
25B	435071	Shipping, receiving, and inventory clerks	1	T	565
25C	435111	Weighers, measurers, checkers, and samplers, recordkeeping	1	T	566
25D	436011	Executive secretaries and executive administrative assistants	1	T	567
25E	436012	Legal secretaries and administrative assistants	1	T	568
25F	436013	Medical secretaries and administrative assistants	1	T	569
25G	436014	Secretaries and administrative assistants, except legal, medical, and executive	1	T	570
25H	439021	Data entry keyers	1	T	571
25J	439031	Desktop publishers	1	T	573
25K	439051	Mail clerks and mail machine operators, except postal service	1	T	575
25L	493023	Automotive service technicians and mechanics	1	T	674
25M	439061	Office clerks, general	1	T	576
25O	439081	Proofreaders and copy markers	1	T	578
25P	439199	Office and administrative support workers, all other	1	T	580
25Y	499021	Heating, air conditioning, and refrigeration mechanics and installers	1	T	687
26L	472051	Cement masons and concrete finishers	1	T	606
26N	472061	Construction laborers	1	T	608
26O	472071	Paving, surfacing, and tamping equipment operators	1	T	609
26Q	472073	Operating engineers and other construction equipment operators	1	T	611
26S	472082	Tapers	1	T	613
26T	472111	Electricians	1	T	614
26W	499099	Installation, maintenance, and repair workers, all other	1	T	709
26Y	472141	Painters, construction and maintenance	1	T	618
27E	472181	Roofers	1	T	624
27F	472211	Sheet metal workers	1	T	625
27P	110000	Management occupations	0	T	2
27Q	474011	Construction and building inspectors	1	T	635
27U	474051	Highway maintenance workers	1	T	639
27V	474061	Rail-track laying and maintenance equipment operators	1	T	640
28M	514121	Welders, cutters, solderers, and brazers	1	T	747
28O	491011	First-line supervisors of mechanics, installers, and repairers	1	T	659
28P	130000	Business and financial operations occupations	0	T	41
28Q	492011	Computer, automated teller, and office machine repairers	1	T	660
28R	492022	Telecommunications equipment installers and repairers, except line installers	1	T	662
28S	492091	Avionics technicians	1	T	663
28V	492094	Electrical and electronics repairers, commercial and industrial equipment	1	T	666
28X	492096	Electronic equipment installers and repairers, motor vehicles	1	T	668
29B	493011	Aircraft mechanics and service technicians	1	T	671
29E	493031	Bus and truck mechanics and diesel engine specialists	1	T	675
29G	493042	Mobile heavy equipment mechanics, except engines	1	T	677
29J	493052	Motorcycle mechanics	1	T	680
29K	493053	Outdoor power equipment and other small engine mechanics	1	T	681
29M	493092	Recreational vehicle service technicians	1	T	683
29N	493093	Tire repairers and changers	1	T	684
29P	150000	Computer and mathematical occupations	0	T	77
29Q	499012	Control and valve installers and repairers, except mechanical door	1	T	686
29S	499041	Industrial machinery mechanics	1	T	689
29T	499043	Maintenance workers, machinery	1	T	690
29U	499044	Millwrights	1	T	691
29W	499051	Electrical power-line installers and repairers	1	T	693
30F	499071	Maintenance and repair workers, general	1	T	700
30J	499094	Locksmiths and safe repairers	1	T	704
30N	499098	Helpers--installation, maintenance, and repair workers	1	T	708
30O	511011	First-line supervisors of production and operating workers	1	T	711
30P	170000	Architecture and engineering occupations	0	T	99
30T	512022	Electrical and electronic equipment assemblers	1	T	714
30Z	512092	Team assemblers	1	T	720
31B	512099	Assemblers and fabricators, all other	1	T	721
31C	513011	Bakers	1	T	722
31D	513021	Butchers and meat cutters	1	T	723
31E	513022	Meat, poultry, and fish cutters and trimmers	1	T	724
31I	513092	Food batchmakers	1	T	727
31J	519199	Production workers, all other	1	T	817
31N	514021	Extruding and drawing machine setters, operators, and tenders, metal and plastic	1	T	730
31O	514022	Forging machine setters, operators, and tenders, metal and plastic	1	T	731
31P	190000	Life, physical, and social science occupations	0	T	136
31R	514031	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	1	T	733
31S	514032	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	1	T	734
31T	514033	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	1	T	735
31V	514035	Milling and planing machine setters, operators, and tenders, metal and plastic	1	T	737
31W	514041	Machinists	1	T	738
31X	514051	Metal-refining furnace operators and tenders	1	T	739
31Y	514052	Pourers and casters, metal	1	T	740
32C	514071	Foundry mold and coremakers	1	T	743
32D	514072	Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic	1	T	744
32E	514081	Multiple machine tool setters, operators, and tenders, metal and plastic	1	T	745
32F	514111	Tool and die makers	1	T	746
32L	514194	Tool grinders, filers, and sharpeners	1	T	752
32O	515112	Printing press operators	1	T	755
32P	210000	Community and social service occupations	0	T	185
32R	516011	Laundry and dry-cleaning workers	1	T	757
32U	516031	Sewing machine operators	1	T	759
33B	516062	Textile cutting machine setters, operators, and tenders	1	T	765
33I	517011	Cabinetmakers and bench carpenters	1	T	772
33J	517021	Furniture finishers	1	T	773
33M	517041	Sawing machine setters, operators, and tenders, wood	1	T	776
33N	517042	Woodworking machine setters, operators, and tenders, except sawing	1	T	777
33P	230000	Legal occupations	0	T	204
33T	518021	Stationary engineers and boiler operators	1	T	782
33U	518031	Water and wastewater treatment plant and system operators	1	T	783
34D	519023	Mixing and blending machine setters, operators, and tenders	1	T	792
34E	519031	Cutters and trimmers, hand	1	T	793
34F	519032	Cutting and slicing machine setters, operators, and tenders	1	T	794
34G	519041	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	1	T	795
34H	519051	Furnace, kiln, oven, drier, and kettle operators and tenders	1	T	796
34I	519061	Inspectors, testers, sorters, samplers, and weighers	1	T	797
34P	250000	Educational instruction and library occupations	0	T	213
35P	270000	Arts, design, entertainment, sports, and media occupations	0	T	281
36P	290000	Healthcare practitioners and technical occupations	0	T	323
37P	310000	Healthcare support occupations	0	T	396
38P	330000	Protective service occupations	0	T	415
39P	350000	Food preparation and serving related occupations	0	T	440
40P	370000	Building and grounds cleaning and maintenance occupations	0	T	458
41P	390000	Personal care and service occupations	0	T	469
42P	410000	Sales and related occupations	0	T	503
43P	430000	Office and administrative support occupations	0	T	526
44P	450000	Farming, fishing, and forestry occupations	0	T	581
45P	470000	Construction and extraction occupations	0	T	596
46P	490000	Installation, maintenance, and repair occupations	0	T	658
47P	510000	Production occupations	0	T	710
48P	530000	Transportation and material moving occupations	0	T	818
57L	519111	Packaging and filling machine operators and tenders	1	T	802
57M	519123	Painting, coating, and decorating workers	1	T	803
57N	519124	Coating, painting, and spraying machine setters, operators, and tenders	1	T	804
57Q	519161	Computer numerically controlled tool operators	1	T	807
57R	519162	Computer numerically controlled tool programmers	1	T	808
57S	519191	Adhesive bonding machine operators and tenders	1	T	809
57T	519192	Cleaning, washing, and metal pickling equipment operators and tenders	1	T	810
57U	519193	Cooling and freezing equipment operators and tenders	1	T	811
57Y	519198	Helpers--production workers	1	T	816
58B	531042	First-line supervisors of helpers, laborers, and material movers, hand	1	T	820
58C	531043	First-line supervisors of material-moving machine and vehicle operators	1	T	821
58L	533031	Driver/sales workers	1	T	830
58M	533032	Heavy and tractor-trailer truck drivers	1	T	831
58N	533033	Light truck drivers	1	T	832
58O	533051	Bus drivers, school	1	T	833
58P	533052	Bus drivers, transit and intercity	1	T	834
58Q	533053	Shuttle drivers and chauffeurs	1	T	835
59E	536021	Parking attendants	1	T	849
59L	537021	Crane and tower operators	1	T	857
59O	537051	Industrial truck and tractor operators	1	T	860
59P	537061	Cleaners of vehicles and equipment	1	T	861
59Q	537062	Laborers and freight, stock, and material movers, hand	1	T	862
59R	537063	Machine feeders and offbearers	1	T	863
59S	537064	Packers and packagers, hand	1	T	864
59T	537065	Stockers and order fillers	1	T	865
59X	537081	Refuse and recyclable material collectors	1	T	869
